"number","name","englishName","nameUz","audio","playing","numberOfAyahs"
"22","سُورَةُ الحَجِّ","Al-Hajj","Haj","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/22.mp3","false","78"
"23","سُورَةُ المُؤۡمِنُونَ","Al-Muminoon","Mu'minun","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/23.mp3","false","118"
"24","سُورَةُ النُّورِ","An-Noor","Nur","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/24.mp3","false","64"
"25","سُورَةُ الفُرۡقَانِ","Al-Furqaan","Furqon","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/25.mp3","false","77"
"26","سُورَةُ الشُّعَرَاءِ","Ash-Shu'araa","Shu'aro","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/26.mp3","false","227"
"27","سُورَةُ النَّمۡلِ","An-Naml","Naml","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/27.mp3","false","93"
"28","سُورَةُ القَصَصِ","Al-Qasas","Qasas","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/28.mp3","false","88"
"29","سُورَةُ العَنكَبُوتِ","Al-Ankaboot","Ankabut","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/29.mp3","false","69"
"30","سُورَةُ الرُّومِ","Ar-Room","Rum","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/30.mp3","false","60"
"31","سُورَةُ لُقۡمَانَ","Luqman","Luqmon","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/31.mp3","false","34"
"32","سُورَةُ السَّجۡدَةِ","As-Sajda","Sajda","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/32.mp3","false","30"
"33","سُورَةُ الأَحۡزَابِ","Al-Ahzaab","Ahzob","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/33.mp3","false","73"
"34","سُورَةُ سَبَإٍ","Saba","Saba'","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/34.mp3","false","54"
"35","سُورَةُ فَاطِرٍ","Faatir","Fotir","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/35.mp3","false","45"
"36","سُورَةُ يسٓ","Yaseen","Yosin","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/36.mp3","false","83"
"37","سُورَةُ الصَّافَّاتِ","As-Saaffaat","Soffat","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/37.mp3","false","182"
"38","سُورَةُ صٓ","Saad","Sod","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/38.mp3","false","88"
"39","سُورَةُ الزُّمَرِ","Az-Zumar","Zumar","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/39.mp3","false","75"
"40","سُورَةُ غَافِرٍ","Ghafir","G'ofir","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/40.mp3","false","85"
"41","سُورَةُ فُصِّلَتۡ","Fussilat","Fussilat","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/41.mp3","false","54"
"42","سُورَةُ الشُّورَىٰ","Ash-Shura","Sho'ro","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/42.mp3","false","53"
"43","سُورَةُ الزُّخۡرُفِ","Az-Zukhruf","Zuxruf","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/43.mp3","false","89"
"44","سُورَةُ الدُّخَانِ","Ad-Dukhaan","Duxon","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/44.mp3","false","59"
"45","سُورَةُ الجَاثِيَةِ","Al-Jaathiya","Josiya","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/45.mp3","false","37"
"46","سُورَةُ الأَحۡقَافِ","Al-Ahqaf","Ahqof","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/46.mp3","false","35"
"47","سُورَةُ مُحَمَّدٍ","Muhammad","Muhammad","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/47.mp3","false","38"
"48","سُورَةُ الفَتۡحِ","Al-Fath","Fath","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/48.mp3","false","29"
